sepal_length,sepal_width,petal_length,petal_width,Group,,,sepal_length,sepal_width,petal_length,petal_width,,C1,C2,Group,,sepal_length,sepal_width,petal_length,petal_width,Group,,,sepal_length,sepal_width,petal_length,petal_width
5.1,3.5,1.4,0.2,1,,c1,5.01,3.36,1.56,0.29,,0.25,4.09,1,,5.1,3.5,1.4,0.2,1,,c1,5.01,3.36,1.56,0.29
4.9,3,1.4,0.2,1,,c2,6.30,2.89,4.96,1.70,,0.42,4.11,1,,4.9,3,1.4,0.2,1,,c2,6.30,2.89,4.96,1.70
4.7,3.2,1.3,0.2,1,,,,,,,,0.44,4.28,1,,4.7,3.2,1.3,0.2,1,,,,,,
4.6,3.1,1.5,0.2,1,,,,,,,,0.49,4.14,1,,4.6,3.1,1.5,0.2,1,,,,,,
5,3.6,1.4,0.2,1,,,,,,,,0.30,4.14,1,,5,3.6,1.4,0.2,1,,,,,,
5.4,3.9,1.7,0.4,1,,,,,,,,0.69,3.76,1,,5.4,3.9,1.7,0.4,1,,,,,,
4.6,3.4,1.4,0.3,1,,,,,,,,0.44,4.22,1,,4.6,3.4,1.4,0.3,1,,,,,,
5,3.4,1.5,0.2,1,,,,,,,,0.12,4.02,1,,5,3.4,1.5,0.2,1,,,,,,
4.4,2.9,1.4,0.2,1,,,,,,,,0.78,4.30,1,,4.4,2.9,1.4,0.2,1,,,,,,
4.9,3.1,1.5,0.1,1,,,,,,,,0.34,4.06,1,,4.9,3.1,1.5,0.1,1,,,,,,
5.4,3.7,1.5,0.2,1,,,,,,,,0.53,3.96,1,,5.4,3.7,1.5,0.2,1,,,,,,
4.8,3.4,1.6,0.2,1,,,,,,,,0.23,4.00,1,,4.8,3.4,1.6,0.2,1,,,,,,
4.8,3,1.4,0.1,1,,,,,,,,0.48,4.18,1,,4.8,3,1.4,0.1,1,,,,,,
4.3,3,1.1,0.1,1,,,,,,,,0.94,4.63,1,,4.3,3,1.1,0.1,1,,,,,,
5.8,4,1.2,0.2,1,,,,,,,,1.09,4.23,1,,5.8,4,1.2,0.2,1,,,,,,
5.7,4.4,1.5,0.4,1,,,,,,,,1.26,4.04,1,,5.7,4.4,1.5,0.4,1,,,,,,
5.4,3.9,1.3,0.4,1,,,,,,,,0.73,4.11,1,,5.4,3.9,1.3,0.4,1,,,,,,
5.1,3.5,1.4,0.3,1,,,,,,,,0.23,4.05,1,,5.1,3.5,1.4,0.3,1,,,,,,
5.7,3.8,1.7,0.3,1,,,,,,,,0.83,3.71,1,,5.7,3.8,1.7,0.3,1,,,,,,
5.1,3.8,1.5,0.3,1,,,,,,,,0.45,4.02,1,,5.1,3.8,1.5,0.3,1,,,,,,
5.4,3.4,1.7,0.2,1,,,,,,,,0.43,3.73,1,,5.4,3.4,1.7,0.2,1,,,,,,
5.1,3.7,1.5,0.4,1,,,,,,,,0.37,3.97,1,,5.1,3.7,1.5,0.4,1,,,,,,
4.6,3.6,1,0.2,1,,,,,,,,0.74,4.62,1,,4.6,3.6,1,0.2,1,,,,,,
5.1,3.3,1.7,0.5,1,,,,,,,,0.28,3.70,1,,5.1,3.3,1.7,0.5,1,,,,,,
4.8,3.4,1.9,0.2,1,,,,,,,,0.41,3.76,1,,4.8,3.4,1.9,0.2,1,,,,,,
5,3,1.6,0.2,1,,,,,,,,0.37,3.90,1,,5,3,1.6,0.2,1,,,,,,
5,3.4,1.6,0.4,1,,,,,,,,0.12,3.86,1,,5,3.4,1.6,0.4,1,,,,,,
5.2,3.5,1.5,0.2,1,,,,,,,,0.26,3.97,1,,5.2,3.5,1.5,0.2,1,,,,,,
5.2,3.4,1.4,0.2,1,,,,,,,,0.27,4.05,1,,5.2,3.4,1.4,0.2,1,,,,,,
4.7,3.2,1.6,0.2,1,,,,,,,,0.36,4.02,1,,4.7,3.2,1.6,0.2,1,,,,,,
4.8,3.1,1.6,0.2,1,,,,,,,,0.35,3.98,1,,4.8,3.1,1.6,0.2,1,,,,,,
