sepal_length,sepal_width,petal_length,petal_width,class,,prediksi,,distance,,,
6.1,3,4.9,1.8,Iris-virginica,,,,4.135214626,0.141421356,,Iris-versicolor
5.9,3.2,4.8,1.8,Iris-versicolor,,,,3.97617907,0.223606798,,2
6.2,2.8,4.8,1.8,Iris-virginica,,,,4.103656906,0.282842712,,2
5.9,3,5.1,1.8,Iris-virginica,,,,4.240283009,0.316227766,,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica,,,,4.236744033,0.435889894,,
6,2.9,4.5,1.5,Iris-versicolor,,,,3.653765181,0.435889894,,
6.1,2.9,4.7,1.4,Iris-versicolor,,,,3.8301436,0.435889894,,
6.1,3,4.6,1.4,Iris-versicolor,,,,3.737646318,0.458257569,,
6,2.7,5.1,1.6,Iris-versicolor,,,,4.226109322,0.469041576,,
6.3,3.3,4.7,1.6,Iris-versicolor,,,,3.968626967,0.479583152,,
5.8,2.7,5.1,1.9,Iris-virginica,,,,4.274342055,0.479583152,,
5.8,2.7,5.1,1.9,Iris-virginica,,,,4.274342055,0.479583152,,
5.6,2.8,4.9,2,Iris-virginica,,,,4.080441153,0.5,,
6,3.4,4.5,1.6,Iris-versicolor,,,,3.683748091,0.538516481,,
6.3,2.8,5.1,1.5,Iris-virginica,,,,4.293017587,0.556776436,,
5.6,3,4.5,1.5,Iris-versicolor,,,,3.512833614,0.583095189,,
6.4,3.2,4.5,1.5,Iris-versicolor,,,,3.813135193,0.6164414,,
6.3,2.5,5,1.9,Iris-virginica,,,,4.38520239,0.6244998,,
5.7,2.5,5,2,Iris-virginica,,,,4.23083916,0.64807407,,
6.5,3.2,5.1,2,Iris-virginica,,,,4.532107677,0.64807407,,
6.1,2.8,4.7,1.2,Iris-versicolor,,,,3.78153408,0.64807407,,
6.5,2.8,4.6,1.5,Iris-versicolor,,,,3.962322551,0.64807407,,
6.3,2.5,4.9,1.5,Iris-versicolor,,,,4.161730409,0.663324958,,
6.5,3,5.2,2,Iris-virginica,,,,4.618441296,0.670820393,,
5.9,3,4.2,1.5,Iris-versicolor,,,,3.355592347,0.678232998,,
5.7,2.8,4.5,1.3,Iris-versicolor,,,,3.49141805,0.68556546,,
6.4,2.7,5.3,1.9,Iris-virginica,,,,4.646504062,0.714142843,,
5.8,2.8,5.1,2.4,Iris-virginica,,,,4.486646855,0.728010989,,
5.4,3,4.5,1.5,Iris-versicolor,,,,3.46121366,0.734846923,,
6.7,3,5,1.7,Iris-versicolor,,,,4.433959855,0.734846923,,
6.2,2.9,4.3,1.3,Iris-versicolor,,,,3.502855978,0.741619849,,
6.7,3.1,4.7,1.5,Iris-versicolor,,,,4.123105626,0.774596669,,
6.6,2.9,4.6,1.3,Iris-versicolor,,,,3.942080669,0.81240384,,
6.4,3.1,5.5,1.8,Iris-virginica,,,,4.75604878,0.81240384,,
6.4,2.9,4.3,1.3,Iris-versicolor,,,,3.598610843,0.818535277,,
